Years,Technologies,F_Mult,f_min,f_max,F_year
YEAR_2020,PV_ROOF,0.0118,0.0118,0.0118,13.595016
YEAR_2020,TRAFO_ML,21.63268777315889,,21.63268777315889,109452.34296856943
YEAR_2020,TRAFO_HM,22.12702441952427,,22.12702441952428,115831.47387984584
YEAR_2020,WIND_ONSHORE,3.946,3.946,3.946,11453.596464
YEAR_2020,CCGT,0.5557,0.5557,0.5557,2190.5694
YEAR_2020,TRAFO_EH,29.23042386174878,,29.23134955970892,178491.63099943532
YEAR_2020,HYDRO_RIVER,15.13,15.13,15.13,73573.19568
YEAR_2020,HYDRO_DAM,26.357,26.357,26.357,127918.533528
YEAR_2020,IND_BOILER_COAL,0.4347336726281075,,0.4347336726281075,3427.4402749999986
YEAR_2020,IND_BOILER_GAS,4.45195125356314,,4.544307390394607,37036.81730000001
YEAR_2020,IND_BOILER_OIL,2.626638692019666,,2.626638692019666,18876.49942499999
YEAR_2020,IND_COGEN_WOOD,1.845150819231803,,1.845150819231803,13738.993
YEAR_2020,DHN_BOILER_GAS,0.5394937567701689,,0.540854018495089,2040.8511075845754
YEAR_2020,DEC_BOILER_GAS,5.109943344040205,,5.109943344040209,19330.406334658677
YEAR_2020,DEC_BOILER_OIL,1.70163133096991,,1.701631330969911,6437.101714209458
YEAR_2020,DEC_BOILER_WOOD,2.254535279756871,,2.254535279756871,8528.682241526785
YEAR_2020,DEC_DIRECT_ELEC,14.1154610852415,,14.11546108524151,53397.38232069007
YEAR_2020,DEC_HP_ELEC,2.065184612364076,,2.065184612364061,7812.387540390718
YEAR_2020,COMMUTER_RAIL_ELEC_SD,0.6446371709607774,,0.6446371709607774,1931.2813932248123
YEAR_2020,BUS_CNG_SD,0.0321117577977293,,0.0321117577957352,83.54580249750826
YEAR_2020,BUS_DIESEL_SD,0.3086542019628826,,0.3086542019628826,803.03181033087
YEAR_2020,BUS_GASOLINE_SD,0.01264400463207071,,0.01264400463207071,32.89615973135101
YEAR_2020,BUS_HY_DIESEL_SD,0.1322803722698064,,0.1322803722698064,344.1564901418007
YEAR_2020,SCHOOLBUS_CNG_SD,0.5756032584885526,,0.5756032584885526,1497.5585096748368
YEAR_2020,SCHOOLBUS_DIESEL_SD,0.8110225828285351,,0.8110225828285351,2110.053674196656
YEAR_2020,SCHOOLBUS_GASOLINE_SD,0.1346686842558632,,0.1346686842558632,350.3702092021644
YEAR_2020,CAR_GASOLINE_SD,65.30842588297833,,65.30842588297833,29177.192347479395
YEAR_2020,CAR_EV_SD,1.176835486424749,,1.176835486425261,525.7630219149
YEAR_2020,SUV_GASOLINE_SD,47.98873594641152,,47.98873594641191,21439.4476714187
YEAR_2020,SUV_DIESEL_SD,0.4279401768815497,,0.4279401768815506,191.18655342360077
